categories,id_event,id_location,indirizzo,latitude,longitude,nome,num_events,data,ora_inizio,ora_fine
"Arredo,Conferenze, workshop",1168,138,Piazza Dei Mercanti,45.4645605,9.1880319,Palazzo dei giureconsulti,2,2016-04-12,12:00:00,18:00:00
"Arredo,Conferenze, workshop",1168,138,Piazza Dei Mercanti,45.4645605,9.1880319,Palazzo dei giureconsulti,2,2016-04-12,18:00:00,21:00:00
"Arredo,Conferenze, workshop",1168,138,Piazza Dei Mercanti,45.4645605,9.1880319,Palazzo dei giureconsulti,2,2016-04-13,12:00:00,18:00:00
"Arredo,Conferenze, workshop",1168,138,Piazza Dei Mercanti,45.4645605,9.1880319,Palazzo dei giureconsulti,2,2016-04-13,18:00:00,21:00:00
"Arredo,Conferenze, workshop",1168,138,Piazza Dei Mercanti,45.4645605,9.1880319,Palazzo dei giureconsulti,2,2016-04-14,12:00:00,18:00:00
"Arredo,Conferenze, workshop",1168,138,Piazza Dei Mercanti,45.4645605,9.1880319,Palazzo dei giureconsulti,2,2016-04-14,18:00:00,21:00:00
Arredo,1465,138,Piazza Dei Mercanti,45.4645605,9.1880319,Palazzo dei giureconsulti,2,2016-04-13,11:00:00,18:30:00
Arredo,1465,138,Piazza Dei Mercanti,45.4645605,9.1880319,Palazzo dei giureconsulti,2,2016-04-14,00:00:00,23:30:00
Arredo,1465,138,Piazza Dei Mercanti,45.4645605,9.1880319,Palazzo dei giureconsulti,2,2016-04-15,11:00:00,23:30:00
Moda,1504,164,"Via Forcella, 5",45.4529518,9.1677228,Spazio setmani,1,2016-04-12,14:00:00,19:00:00
"Architettura,Arte,Installazioni,Product Design",1113,174,"P.Zza S.Marco, 1",45.4732053,9.1878519,Dilmos,1,2016-04-12,10:00:00,21:00:00
"Architettura,Arte,Installazioni,Product Design",1113,174,"P.Zza S.Marco, 1",45.4732053,9.1878519,Dilmos,1,2016-04-13,10:00:00,21:00:00
"Architettura,Arte,Installazioni,Product Design",1113,174,"P.Zza S.Marco, 1",45.4732053,9.1878519,Dilmos,1,2016-04-14,10:00:00,21:00:00
"Architettura,Arte,Installazioni,Product Design",1113,174,"P.Zza S.Marco, 1",45.4732053,9.1878519,Dilmos,1,2016-04-15,10:00:00,21:00:00
"Architettura,Arte,Installazioni,Product Design",1113,174,"P.Zza S.Marco, 1",45.4732053,9.1878519,Dilmos,1,2016-04-16,10:00:00,21:00:00
"Architettura,Arte,Installazioni,Product Design",1113,174,"P.Zza S.Marco, 1",45.4732053,9.1878519,Dilmos,1,2016-04-17,10:00:00,21:00:00
"Arredo,Moda",1090,167,"Via Della Spiga, 30",45.4703618,9.196624499999999,"Via della spiga, 30",1,2016-04-12,10:00:00,19:00:00
"Arredo,Moda",1090,167,"Via Della Spiga, 30",45.4703618,9.196624499999999,"Via della spiga, 30",1,2016-04-13,10:00:00,19:00:00
"Arredo,Moda",1090,167,"Via Della Spiga, 30",45.4703618,9.196624499999999,"Via della spiga, 30",1,2016-04-14,10:00:00,19:00:00
"Arredo,Moda",1090,167,"Via Della Spiga, 30",45.4703618,9.196624499999999,"Via della spiga, 30",1,2016-04-15,10:00:00,19:00:00
"Arredo,Moda",1090,167,"Via Della Spiga, 30",45.4703618,9.196624499999999,"Via della spiga, 30",1,2016-04-16,10:00:00,19:00:00
"Arredo,Moda",1090,167,"Via Della Spiga, 30",45.4703618,9.196624499999999,"Via della spiga, 30",1,2016-04-17,11:00:00,19:00:00
"Architettura,Arredo,Esterni,Living,Product Design",877,221,"Viale Piave, 42",45.4738657,9.2065545,Hotel sheraton diana majestic,1,2016-04-12,10:30:00,01:00:00
"Architettura,Arredo,Esterni,Living,Product Design",877,221,"Viale Piave, 42",45.4738657,9.2065545,Hotel sheraton diana majestic,1,2016-04-13,10:30:00,01:00:00
"Architettura,Arredo,Esterni,Living,Product Design",877,221,"Viale Piave, 42",45.4738657,9.2065545,Hotel sheraton diana majestic,1,2016-04-14,10:30:00,01:00:00
"Architettura,Arredo,Esterni,Living,Product Design",877,221,"Viale Piave, 42",45.4738657,9.2065545,Hotel sheraton diana majestic,1,2016-04-15,10:30:00,19:00:00
"Architettura,Arredo,Esterni,Living,Product Design",877,221,"Viale Piave, 42",45.4738657,9.2065545,Hotel sheraton diana majestic,1,2016-04-16,10:30:00,01:00:00
"Architettura,Arredo,Esterni,Living,Product Design",877,221,"Viale Piave, 42",45.4738657,9.2065545,Hotel sheraton diana majestic,1,2016-04-17,10:30:00,01:00:00
"Arte,Product Design",1061,264,Via Matteo Bandello 14,45.463997799999994,9.1674966,Spazio rossana orlandi,2,2016-04-12,10:30:00,19:30:00
"Arte,Product Design",1061,264,Via Matteo Bandello 14,45.463997799999994,9.1674966,Spazio rossana orlandi,2,2016-04-13,10:30:00,19:30:00
