categories,id_event,latitude,longitude,participations
"('Cucina', 'Food & beverage')",873,45.4788808,9.242973,53
"('Architettura', 'Arte', 'Esterni', 'Installazioni', 'Living', 'Materiali speciali', 'Product Design', 'Tecnologia')",968,45.4840408,9.2434883,12
"('Altro', 'Architettura', 'Esterni', 'Installazioni', 'Materiali speciali', 'Product Design')",1014,45.4840408,9.2434883,19
"('Arredo', 'Illuminazione', 'Installazioni', 'Living', 'Product Design', 'Tecnologia')",632,45.4840408,9.2434883,33
"('Arredo',)",1143,45.4841916,9.2448054,3
"('Product Design',)",1013,45.4841916,9.2448054,30
"('Altro', 'Arredo', 'Grafica', 'Illuminazione', 'Living', 'Materiali speciali', 'Product Design', 'Tecnologia')",1156,45.4841916,9.2448054,13
"('Arredo', 'Installazioni')",850,45.4841916,9.2448054,3
"('Altro', 'Installazioni', 'Tecnologia')",959,45.4838791,9.2439323,4
"('Arredo', 'Living', 'Product Design')",1224,45.4816634,9.2461217,12
"('Installazioni', 'Tecnologia')",1592,45.4816634,9.2461217,11
"('Arredo', 'Living', 'Product Design')",1289,45.4816634,9.2461217,7
"('Altro', 'Arredo', 'Arte', 'Illuminazione', 'Living', 'Materiali speciali', 'Party', 'Product Design')",25,45.4816634,9.2461217,29
"('Altro', 'Architettura', 'Arredo', 'Grafica', 'Illuminazione', 'Installazioni', 'Living', 'Materiali speciali', 'Product Design', 'Tecnologia')",1064,45.4816634,9.2461217,32
"('Esterni', 'Product Design')",604,45.4693909,9.1868108,4
"('Esterni', 'Installazioni', 'Product Design')",1360,45.4906783,9.2207239,6
"('Altro', 'Architettura', 'Arredo', 'Conferenze, workshop', 'Cucina', 'Esterni', 'Living', 'Materiali speciali', 'Product Design', 'Tecnologia')",973,45.4811105,9.1559544,2
"('Architettura', 'Arredo', 'Bagno', 'Conferenze, workshop', 'Cucina', 'Esterni', 'Installazioni', 'Living', 'Materiali speciali', 'Product Design', 'Tecnologia')",580,45.4811105,9.1559544,4
"('Cucina',)",1161,45.4724338,9.2101802,10
"('Architettura', 'Arredo', 'Bagno', 'Living')",949,45.4702151,9.2070581,1
"('Arte', 'Moda', 'Gioielli', 'Party')",96,45.4529404,9.1666802,12
"('Arte', 'Bagno', 'Installazioni', 'Materiali speciali', 'Party', 'Product Design')",1616,45.453617,9.1593196,6
"('Bagno',)",867,45.4750096,9.1870127,12
"('Arredo', 'Living')",99,45.4683816,9.1958373,9
"('Conferenze, workshop', 'Illuminazione')",1179,45.4714509,9.1844023,1
"('Architettura', 'Arredo', 'Cucina', 'Materiali speciali')",1141,45.4627515,9.1939428,22
"('Arredo', 'Arte', 'Gioielli', 'Illuminazione')",874,45.4542644,9.167437,2
"('Architettura', 'Arredo', 'Grafica', 'Product Design')",1583,45.4513327,9.203064,5
"('Arte', 'Illuminazione', 'Product Design')",838,45.482237,9.240127,10
"('Arredo', 'Product Design')",1094,45.482237,9.240127,5
"('Altro', 'Food & beverage')",1607,45.482237,9.240127,6
"('Architettura', 'Arredo', 'Arte', 'Moda', 'Food & beverage', 'Illuminazione', 'Installazioni', 'Living', 'Materiali speciali', 'Party', 'Product Design', 'Tecnologia')",1627,45.482237,9.240127,5
"('Arte', 'Moda', 'Food & beverage', 'Grafica', 'Installazioni', 'Materiali speciali')",1625,45.482237,9.240127,3
"('Altro', 'Arte', 'Gioielli', 'Product Design')",82,45.4723771,9.1829,8
"('Architettura', 'Arredo', 'Arte', 'Illuminazione', 'Installazioni', 'Living', 'Product Design', 'Tecnologia')",894,45.480216,9.2028765,22
"('Arte', 'Installazioni', 'Product Design')",1054,45.4668418,9.1989609,6
"('Arredo', 'Living')",1564,45.467465,9.2004317,1
"('Altro', 'Arredo', 'Arte', 'Moda', 'Gioielli')",1126,45.452551,9.1651877,5
"('Architettura', 'Giochi, giocattoli', 'Installazioni')",1003,45.4577689,9.1720783,3
"('Altro', 'Product Design')",851,45.4759904,9.2070601,6
"('Arredo', 'Food & beverage', 'Living', 'Party', 'Product Design')",1311,45.4836427,9.1719997,4
"('Altro', 'Arte', 'Food & beverage', 'Gioielli', 'Installazioni')",1092,45.4559494,9.162599,3
"('Architettura', 'Arredo', 'Living', 'Product Design')",77,45.4778411,9.1881534,23
"('Architettura', 'Arredo', 'Bagno', 'Cucina', 'Esterni', 'Materiali speciali', 'Product Design')",747,45.4778411,9.1881534,11
"('Arredo', 'Conferenze, workshop', 'Grafica', 'Product Design', 'Tecnologia')",1320,45.4505316,9.1572246,5
"('Altro', 'Arte', 'Party', 'Product Design')",1042,45.49436,9.1866602,4
"('Arredo', 'Materiali speciali', 'Party')",1069,45.46863,9.2042,5
"('Arredo', 'Arte', 'Cucina', 'Moda', 'Food & beverage', 'Gioielli', 'Party')",892,45.4803653,9.1874776,40
"('Arte',)",1217,45.456442,9.1688119,4
"('Gioielli', 'Product Design')",609,45.4617604,9.1824403,5
"('Product Design',)",1374,45.4617604,9.1824403,6
"('Arte', 'Materiali speciali', 'Product Design')",1641,45.4617604,9.1824403,12
"('Materiali speciali',)",986,45.453714,9.1627682,8
"('Altro', 'Arte', 'Installazioni', 'Product Design')",943,45.4791737,9.2031939,6
"('Altro', 'Arte', 'Gioielli')",950,45.4748344,9.2076002,2
"('Architettura', 'Arredo', 'Bagno', 'Esterni', 'Installazioni', 'Living', 'Product Design')",956,45.470036,9.1823429,4
"('Arte', 'Grafica')",1329,45.4566875,9.1842856,5
"('Food & beverage', 'Party', 'Product Design')",1128,45.4566875,9.1842856,12
"('Architettura', 'Arredo', 'Arte', 'Installazioni', 'Living', 'Product Design')",899,45.47319,9.19001,6
"('Arredo', 'Arte', 'Party', 'Product Design')",1271,45.4733569,9.1949261,7
"('Illuminazione',)",1496,45.45488,9.19896,8
"('Arredo', 'Living', 'Product Design')",569,45.4729501,9.2063767,19
"('Moda',)",644,45.4753874,9.185339,16
"('Architettura', 'Arredo', 'Arte', 'Bagno', 'Cucina', 'Living', 'Materiali speciali', 'Product Design')",1606,45.45772,9.20723,2
"('Arte', 'Moda')",1513,45.467112,9.2007965,4
"('Architettura', 'Arredo', 'Arte', 'Conferenze, workshop', 'Cucina', 'Moda', 'Food & beverage', 'Party', 'Tecnologia')",1008,45.4524797,9.1669884,33
"('Architettura', 'Arredo', 'Living', 'Party', 'Product Design')",1006,45.4524797,9.1669884,2
"('Arte', 'Installazioni')",1095,45.4795229,9.2426978,4
"('Arredo', 'Esterni')",1249,45.4722803,9.1849639,4
"('Architettura', 'Arredo', 'Cucina', 'Moda', 'Product Design')",248,45.4715179,9.1907218,9
"('Architettura', 'Cucina', 'Moda', 'Product Design')",734,45.4715179,9.1907218,24
"('Arredo', 'Product Design')",62,45.462751,9.1939772,35
"('Arredo', 'Cucina', 'Installazioni', 'Party', 'Product Design')",63,45.462751,9.1939772,15
"('Product Design',)",645,45.4717874,9.1956323,5
"('Altro', 'Arredo', 'Installazioni', 'Living', 'Product Design', 'Tecnologia')",1129,45.4622644,9.183442,4
(),642,45.4700004,9.1970196,4
"('Arredo', 'Gioielli', 'Illuminazione', 'Party')",1480,45.467465,9.2004317,2
"('Bagno', 'Product Design')",1176,45.4515503,9.1616272,15
"('Architettura', 'Arredo', 'Installazioni', 'Materiali speciali', 'Product Design')",994,45.4515503,9.1616272,22
"('Arredo', 'Arte', 'Installazioni')",537,45.4580971,9.1789338,10
"('Altro', 'Arredo')",58,45.4953034,9.1750311,32
"('Arredo', 'Arte', 'Moda', 'Gioielli', 'Materiali speciali', 'Product Design')",1608,45.4510205,9.2035493,1
"('Arredo', 'Grafica', 'Installazioni', 'Product Design')",678,45.490243,9.222546,9
"('Food & beverage', 'Product Design')",1588,45.4733569,9.1949261,4
