id_event,latitude,longitude,cluster
1529,45.4688638,9.1814372,3
1537,45.4509074,9.1712743,15
1540,45.4642811,9.174866,18
1545,45.469828,9.1851697,3
1579,45.4866779,9.1866738,21
1550,45.4840638,9.2447871,7
1558,45.48405,9.24296,7
1561,45.4619777,9.186632199999998,23
1565,45.4764388,9.207644300000002,9
1593,45.472003,9.1856301,3
1586,45.4679345,9.1857032,3
1585,45.4679345,9.1857032,3
1587,45.4654219,9.1859243,22
1589,45.457074,9.1632345,0
1591,45.4553953,9.162575,0
1595,45.4812041,9.187334300000002,3
1597,45.4714578,9.1937842,1
1603,45.4647137,9.1782251,13
1600,45.470982,9.1935194,1
1601,45.4813161,9.1870909,3
1605,45.46458629999999,9.1930181,1
1292,45.4529865,9.1659464,0
707,45.4723263,9.1847888,3
664,45.4535803,9.1621007,0
723,45.4697074,9.1843046,3
904,45.4668515,9.1995489,1
980,45.471807,9.1736961,14
1120,45.471807,9.1736961,14
1214,45.471807,9.1736961,14
1050,45.471807,9.1736961,14
1171,45.471807,9.1736961,14
1046,45.471807,9.1736961,14
1580,45.471807,9.1736961,14
828,45.4829034,9.1834614,5
821,45.474881,9.187224,3
820,45.4714159,9.1842753,3
824,45.4715744,9.1851313,3
890,45.4721046,9.1863623,3
548,45.4721046,9.1863623,3
860,45.4510823,9.1600817,0
797,45.4748584,9.1870063,3
1197,45.4748584,9.1870063,3
882,45.481075,9.186792,3
966,45.484195,9.24298,7
972,45.484195,9.24298,7
970,45.484195,9.24298,7
965,45.484195,9.24298,7
1011,45.484195,9.24298,7
974,45.484195,9.24298,7
628,45.48377,9.243725,7
945,45.483634,9.24379,7
942,45.483634,9.24379,7
944,45.483634,9.24379,7
746,45.47744,9.18451,3
872,45.47744,9.18451,3
1198,45.47744,9.18451,3
819,45.4690817,9.1869369,3
668,45.453299,9.167165,0
558,45.453299,9.167165,0
1375,45.45287,9.166804,0
656,45.45323,9.165557000000002,0
976,45.484185,9.242797,7
737,45.47505,9.186299,3
720,45.4696002,9.1835282,3
814,45.4689526,9.186260699999998,3
822,45.471575,9.186072,3
756,45.474881,9.187224,3
581,45.45149,9.162278,0
1371,45.4516093,9.162278,0
1448,45.45149,9.162278,0
1029,45.452683,9.173438,15
1025,45.452683,9.173438,15
1621,45.452683,9.173438,15
1407,45.473602,9.195083,1
749,45.46980300000001,9.18716,3
659,45.4516093,9.162211,0
788,45.472118,9.186466,3
728,45.471932,9.182062,3
743,45.4729321,9.1874223,3
615,45.480502,9.185941,3
1205,45.480502,9.185941,3
1005,45.480502,9.185941,3
830,45.480502,9.185941,3
626,45.452488,9.16513,0
713,45.474492,9.187107,3
1419,45.451225,9.160838,0
1239,45.468941,9.18103,3
1357,45.464425,9.16663,4
1358,45.464425,9.16663,4
1356,45.464425,9.16663,4
985,45.464425,9.16663,4
1347,45.464425,9.16663,4
1351,45.464425,9.16663,4
1349,45.464425,9.16663,4
1354,45.464425,9.16663,4
1355,45.464425,9.16663,4
1353,45.464425,9.16663,4
722,45.471955,9.18542,3
1255,45.47277800000001,9.184788,3
652,45.47277800000001,9.184788,3
700,45.47277800000001,9.184788,3
775,45.47012,9.182595,3
1265,45.476605,9.190471,3
1223,45.453908,9.163139,0
1056,45.459812,9.191629,1
1152,45.459812,9.191629,1
711,45.478733,9.18544,3
750,45.46925039999999,9.1868595,3
1295,45.4671105,9.201375,1
1462,45.4604794,9.194434,1
1436,45.4604794,9.194434,1
1437,45.4604794,9.194434,1
1426,45.4604794,9.194434,1
1476,45.4604794,9.194434,1
1456,45.4604794,9.194434,1
1425,45.4604794,9.194434,1
1475,45.4604794,9.194434,1
1474,45.4604794,9.194434,1
1432,45.4604794,9.194434,1
1412,45.473615,9.1950837,1
1414,45.460342,9.1941298,1
1344,45.463027200000006,9.174890199999998,18
1236,45.463027200000006,9.174890199999998,18
1343,45.463027200000006,9.174890199999998,18
1362,45.46568120000001,9.2029051,1
593,45.45524870000001,9.1676286,0
1015,45.4840991,9.245126,7
1182,45.4840991,9.245126,7
1188,45.4840991,9.245126,7
800,45.4724574,9.1852365,3
752,45.4718754,9.1860375,3
809,45.4799033,9.1833335,3
991,45.4647274,9.198056800000002,1
729,45.4695652,9.1845089,3
721,45.473379,9.187990199999998,3
829,45.4719635,9.1820691,3
759,45.4734896,9.189586300000002,3
695,45.4786399,9.1882675,3
726,45.4792855,9.1861382,3
962,45.4840151,9.2429341,7
947,45.4840151,9.2429341,7
964,45.4840151,9.2429341,7
946,45.4840151,9.2429341,7
1018,45.4817774,9.2456798,7
1024,45.4817774,9.2456798,7
1057,45.4817774,9.2456798,7
977,45.48170820000001,9.2456139,7
978,45.48170820000001,9.2456139,7
832,45.4769859,9.1885234,3
589,45.4527291,9.1679637,0
757,45.4755914,9.1872906,3
1127,45.452618,9.1654245,0
559,45.452618,9.1654245,0
577,45.4542375,9.1634581,0
697,45.47168679999999,9.1860151,3
1252,45.47168679999999,9.1860151,3
669,45.4517569,9.1627973,0
1202,45.4517569,9.1627973,0
665,45.4640737,9.180712,13
685,45.4751614,9.1871318,3
870,45.4751614,9.1871318,3
1133,45.4751614,9.1871318,3
40,45.4751614,9.1871318,3
689,45.475559,9.187918,3
709,45.4748153,9.1871265,3
1185,45.48404420000001,9.2444895,7
1364,45.48404420000001,9.2444895,7
765,45.4691164,9.1864263,3
773,45.4680504,9.1920634,19
566,45.4680504,9.1920634,19
600,45.4523287,9.1644082,0
753,45.4762926,9.1857187,3
772,45.47017279999999,9.1848165,3
34,45.4580652,9.179615,20
718,45.4770412,9.1853578,3
815,45.4728743,9.1885136,3
751,45.4754694,9.1870442,3
599,45.45312970000001,9.1672573,0
598,45.45312970000001,9.1672573,0
1481,45.4622772,9.1844453,10
745,45.46884,9.18499,3
1455,45.4598778,9.1906516,1
64,45.4598778,9.1906516,1
622,45.4727586,9.1964477,1
578,45.45304,9.1714735,0
1327,45.45304,9.1714735,0
719,45.47087,9.18348,3
810,45.47819060000001,9.188269900000002,3
717,45.4745038,9.188312,3
716,45.47206,9.18607,3
714,45.47007,9.19164,19
590,45.4514698,9.1725561,15
612,45.4724846,9.1838066,3
629,45.4531742,9.1709032,0
658,45.4531742,9.1709032,0
657,45.4537785,9.1629472,0
674,45.4517289,9.1627945,0
1381,45.45176470000001,9.1632869,0
1077,45.45176470000001,9.1632869,0
1383,45.45176470000001,9.1632869,0
1173,45.45176470000001,9.1632869,0
1177,45.45176470000001,9.1632869,0
1388,45.45176470000001,9.1632869,0
1181,45.45176470000001,9.1632869,0
1045,45.45176470000001,9.1632869,0
1086,45.45176470000001,9.1632869,0
28,45.45176470000001,9.1632869,0
930,45.45176470000001,9.1632869,0
1397,45.45176470000001,9.1632869,0
1083,45.45176470000001,9.1632869,0
1395,45.45176470000001,9.1632869,0
1400,45.45176470000001,9.1632869,0
1401,45.45176470000001,9.1632869,0
1081,45.45176470000001,9.1632869,0
1318,45.45176470000001,9.1632869,0
1403,45.45176470000001,9.1632869,0
579,45.45176470000001,9.1632869,0
1193,45.45176470000001,9.1632869,0
106,45.45176470000001,9.1632869,0
1191,45.45176470000001,9.1632869,0
1085,45.45176470000001,9.1632869,0
1528,45.45176470000001,9.1632869,0
1405,45.45176470000001,9.1632869,0
1409,45.45176470000001,9.1632869,0
1526,45.45176470000001,9.1632869,0
243,45.45176470000001,9.1632869,0
1196,45.45176470000001,9.1632869,0
1210,45.45176470000001,9.1632869,0
1544,45.45176470000001,9.1632869,0
1410,45.45176470000001,9.1632869,0
1361,45.45176470000001,9.1632869,0
610,45.45176470000001,9.1632869,0
1087,45.45176470000001,9.1632869,0
1110,45.45176470000001,9.1632869,0
1089,45.45176470000001,9.1632869,0
1413,45.45176470000001,9.1632869,0
1416,45.45176470000001,9.1632869,0
1427,45.45176470000001,9.1632869,0
1527,45.45176470000001,9.1632869,0
1434,45.45176470000001,9.1632869,0
1242,45.45176470000001,9.1632869,0
1530,45.45176470000001,9.1632869,0
868,45.45176470000001,9.1632869,0
1486,45.45176470000001,9.1632869,0
1352,45.45176470000001,9.1632869,0
1380,45.45176470000001,9.1632869,0
1488,45.45176470000001,9.1632869,0
1491,45.45176470000001,9.1632869,0
1232,45.45176470000001,9.1632869,0
1231,45.45176470000001,9.1632869,0
1074,45.45176470000001,9.1632869,0
1389,45.45176470000001,9.1632869,0
1207,45.45176470000001,9.1632869,0
1387,45.45176470000001,9.1632869,0
32,45.45176470000001,9.1632869,0
1080,45.45176470000001,9.1632869,0
1372,45.45176470000001,9.1632869,0
1240,45.45176470000001,9.1632869,0
1385,45.45176470000001,9.1632869,0
1626,45.45176470000001,9.1632869,0
1178,45.4524277,9.1671696,0
1305,45.4524277,9.1671696,0
1333,45.4524277,9.1671696,0
1365,45.4524277,9.1671696,0
1180,45.4754356,9.1826485,3
826,45.4754356,9.1826485,3
895,45.4527416,9.1647171,0
903,45.478749,9.1854494,3
770,45.4771328,9.187785,3
776,45.46853,9.18616,3
777,45.47542410000001,9.1845611,3
778,45.48098,9.18691,3
779,45.4723593,9.1850931,3
780,45.4693438,9.188217300000002,3
782,45.4702375,9.1850016,3
762,45.4681682,9.189143199999998,3
763,45.4721321,9.1836137,3
764,45.4685216,9.1838358,3
766,45.4761223,9.185806800000002,3
784,45.4748153,9.1871265,3
785,45.4794376,9.185630499999998,3
786,45.4673593,9.1858262,3
789,45.472338,9.1864182,3
791,45.4791864,9.186092599999998,3
792,45.4748459,9.1832329,3
795,45.4654219,9.1859243,22
798,45.4728008,9.1871505,3
799,45.47145620000001,9.1848642,3
801,45.4752736,9.1852913,3
804,45.4827626,9.1833932,5
806,45.47717479999999,9.1861521,3
1536,45.47717479999999,9.1861521,3
816,45.4793654,9.1869845,3
818,45.478628,9.1882898,3
823,45.47145620000001,9.1848642,3
831,45.4695491,9.186751199999998,3
684,45.4710069,9.184420199999998,3
686,45.4686382,9.1915023,19
690,45.4721368,9.1839158,3
691,45.4716588,9.185690199999998,3
692,45.47669910000001,9.1861849,3
694,45.4704565,9.1875381,3
696,45.47342379999999,9.184785,3
1053,45.47998,9.19006,3
698,45.47998,9.19006,3
704,45.4717915,9.1861611,3
705,45.4814255,9.1882961,3
706,45.4683122,9.1840027,3
1096,45.4683122,9.1840027,3
708,45.4748209,9.1868156,3
1035,45.4748209,9.1868156,3
710,45.4723593,9.1850931,3
730,45.4781605,9.1884523,3
731,45.4734809,9.188008900000002,3
733,45.472513,9.1855901,3
738,45.4730412,9.186466,3
740,45.4703588,9.1864982,3
742,45.478749,9.1854494,3
744,45.4745038,9.188312,3
748,45.47542410000001,9.1845611,3
761,45.4697063,9.1867206,3
760,45.4753648,9.1854814,3
755,45.47058,9.18363,3
1004,45.45342,9.1648,0
1020,45.4842225,9.2452732,7
1021,45.4842225,9.2452732,7
1051,45.4842945,9.2424976,7
1108,45.4842945,9.2424976,7
805,45.4654219,9.1859243,22
739,45.4719867,9.188147,3
1134,45.4719867,9.188147,3
702,45.4696002,9.1835282,3
682,45.4722352,9.1850716,3
796,45.4750291,9.1864601,3
845,45.4750291,9.1864601,3
901,45.4752736,9.1852913,3
1154,45.453653,9.1721375,0
667,45.4537785,9.1629472,0
1192,45.4655675,9.1997484,1
662,45.4527115,9.1656418,0
1209,45.4516697,9.1628374,0
672,45.45383,9.1629,0
1221,45.4573508,9.1809623,20
1230,45.4516697,9.1628374,0
1233,45.4516697,9.1628374,0
661,45.4516697,9.1628374,0
1322,45.4516697,9.1628374,0
1234,45.4516697,9.1628374,0
1211,45.4649218,9.1976842,1
699,45.4830905,9.1832996,5
1342,45.4522017,9.1831142,11
1378,45.4516697,9.1628374,0
1379,45.4516697,9.1628374,0
1438,45.4601012,9.194516,1
1285,45.4710693,9.1844009,3
1463,45.4601501,9.194548199999998,1
1467,45.4601351,9.1945268,1
1466,45.4601351,9.1945268,1
1471,45.4601727,9.194575,1
1472,45.4601614,9.1945375,1
1447,45.4724958,9.1876391,3
1489,45.4710683,9.1931905,1
1497,45.4654219,9.1859243,22
1521,45.4687692,9.1842792,3
768,45.4829908,9.1833586,5
735,45.475264,9.1855538,3
596,45.451,9.160395,0
683,45.476621,9.185656,3
1446,45.472478,9.188674,3
1450,45.472478,9.188674,3
817,45.48068320000001,9.186715,3
724,45.4778411,9.1881534,3
736,45.4713538,9.182552,3
1017,45.4713538,9.182552,3
802,45.4731321,9.1916239,1
688,45.47700089999999,9.188625300000002,3
100,45.47700089999999,9.188625300000002,3
715,45.47700089999999,9.188625300000002,3
712,45.4779792,9.1890166,3
101,45.4779792,9.1890166,3
625,45.4507024,9.1579861,17
790,45.47117,9.18514,3
701,45.47029000000001,9.18781,3
703,45.47272,9.18664,3
732,45.4721368,9.1839158,3
825,45.48303410000001,9.1833532,5
1235,45.47458,9.204085,9
1399,45.47458,9.204085,9
79,45.4841525,9.2413344,7
1620,45.4596372,9.1797034,20
1624,45.4634375,9.1872281,23
1613,45.4788302,9.1845444,3
1618,45.4709593,9.2066018,16
1615,45.4671664,9.1834535,3
1622,45.4878393,9.1890398,8
1623,45.4522732,9.1823861,11
1633,45.4866297,9.1887132,8
1635,45.4720694,9.1861652,3
1636,45.46696,9.194366,1
1634,45.4518153,9.1760435,15
1638,45.4537215,9.1625376,0
1639,45.4624151,9.1744899,18
1640,45.4624151,9.1744899,18
1642,45.4596615,9.1793833,20
1644,45.4577283,9.1832468,12
1648,45.4660736,9.202152900000002,1
1649,45.4536292,9.1682489,0
1651,45.4574529,9.1916373,1
1650,45.47447800000001,9.1835085,3
1653,45.4726541,9.186198,3
1654,45.4637059,9.1861316,23
1655,45.46587,9.18373,3
1656,45.46673300000001,9.187186,3
1657,45.4672793,9.1869646,3
1660,45.46378320000001,9.196994,1
